step,reward,seed
0,-6.844399097249282,0
50000,6774.7331621970925,0
100000,8424.44827857149,0
150000,8174.403722410867,0
200000,9293.807221190811,0
250000,9611.629795317462,0
300000,9872.097339906311,0
350000,10118.153685661073,0
400000,10442.43500737668,0
450000,10119.23585303355,0
500000,10650.592005290237,0
550000,11310.260452669589,0
600000,11193.917514297002,0
650000,11268.120095449478,0
700000,11459.34219861765,0
750000,11687.921299833422,0
800000,11773.036178350045,0
850000,11808.15513823958,0
900000,11999.14212270772,0
950000,12003.142752008334,0
1000000,10385.39952623079,0
0,-11.935455597086026,1000
50000,5610.086551819985,1000
100000,6098.493532676338,1000
150000,6828.642059171277,1000
200000,7514.110612026952,1000
250000,7862.802286440866,1000
300000,8704.610438812102,1000
350000,8876.419745842139,1000
400000,8987.548196371048,1000
450000,9241.409282556093,1000
500000,9597.056910658595,1000
550000,9834.599860698429,1000
600000,10005.39443144764,1000
650000,8898.52117716263,1000
700000,10103.653424833534,1000
750000,10577.037248807204,1000
800000,10333.40503133474,1000
850000,10635.173131798734,1000
900000,10707.283993823155,1000
950000,10423.85588124977,1000
1000000,10720.23087507252,1000
0,-4.832062645670917,2000
50000,8612.971989434982,2000
100000,9979.22311556707,2000
150000,10778.46276073131,2000
200000,10906.62100850194,2000
250000,10752.023318367155,2000
300000,11766.853391484396,2000
350000,11944.582362822,2000
400000,12267.432742570543,2000
450000,12696.934375270548,2000
500000,13624.88856659921,2000
550000,13929.225937483125,2000
600000,13961.511777246764,2000
650000,13998.99702808711,2000
700000,14286.051191119754,2000
750000,14358.755963507832,2000
800000,14208.168951259777,2000
850000,14522.01441333702,2000
900000,14316.288996054698,2000
950000,14281.807360793897,2000
1000000,14896.189041700938,2000
0,-5.346089399479454,3000
50000,5727.356177651566,3000
100000,6029.491194311872,3000
150000,6115.417336820418,3000
200000,6353.256000515828,3000
250000,6667.21858287828,3000
300000,6845.224239309556,3000
350000,6776.113831245023,3000
400000,7012.62699349927,3000
450000,7654.217892164316,3000
500000,8375.480400530449,3000
550000,8730.844901206357,3000
600000,8966.71184221108,3000
650000,9345.359458599518,3000
700000,9475.386573596064,3000
750000,9994.03447817309,3000
800000,10151.803947930191,3000
850000,10396.686923929952,3000
900000,10863.43964883354,3000
950000,10533.359611099237,3000
1000000,10805.015558789184,3000
0,-2.4815140711045385,4000
50000,6382.775280979497,4000
100000,6995.121112525461,4000
150000,8373.858579451296,4000
200000,8829.101654479757,4000
250000,9033.258274572992,4000
300000,9240.846697851915,4000
350000,9719.931758306093,4000
400000,9876.650004183331,4000
450000,9976.16408990963,4000
500000,10204.339684756718,4000
550000,10549.095889676631,4000
600000,10826.651970770152,4000
650000,10919.224153437975,4000
700000,10510.53962460574,4000
750000,11312.346440641477,4000
800000,11270.026828547168,4000
850000,11325.146838364077,4000
900000,11321.63338079422,4000
950000,11559.984505606084,4000
1000000,11157.908319345592,4000
