step,reward,seed
0,13.03864612276426,0
50000,3228.8482253872944,0
100000,2280.4894694789004,0
150000,3571.2477486697617,0
200000,3615.8155601247295,0
250000,3786.300047959784,0
300000,3819.152389971766,0
350000,3916.8119455187816,0
400000,4059.2304660169134,0
450000,4114.628699904179,0
500000,4155.029514878299,0
550000,4202.534756215899,0
600000,4217.562247383479,0
650000,4283.047711627154,0
700000,3943.932774059728,0
750000,4021.049569891199,0
800000,4292.307891412774,0
850000,4147.570541790255,0
900000,4129.807872628525,0
950000,3881.979353488842,0
1000000,4087.343387477185,0
0,33.615183595334244,1000
50000,3327.217967311717,1000
100000,3301.9282196794534,1000
150000,3635.452102774929,1000
200000,3763.709561873717,1000
250000,3844.358204050387,1000
300000,3872.566652610783,1000
350000,3929.481893890222,1000
400000,3961.913240524719,1000
450000,4004.06474540239,1000
500000,4002.471675689435,1000
550000,4014.540616941618,1000
600000,3674.017177798863,1000
650000,3846.929852544565,1000
700000,4149.527080366808,1000
750000,4190.266669375845,1000
800000,4126.244567370349,1000
850000,4178.922692167991,1000
900000,4146.380830448438,1000
950000,4191.031944074895,1000
1000000,4205.173494114626,1000
0,38.16055676947877,2000
50000,3084.7934933072315,2000
100000,3537.8156784585094,2000
150000,3548.323683804828,2000
200000,3601.939134439976,2000
250000,2922.5486716547903,2000
300000,4025.0532753226007,2000
350000,3816.844099809509,2000
400000,4026.8320035624834,2000
450000,4100.046769707021,2000
500000,2760.8026779909555,2000
550000,4158.713859435241,2000
600000,2239.396416348302,2000
650000,1825.1475025950767,2000
700000,4175.23299145462,2000
750000,4163.954720964757,2000
800000,4147.991615693937,2000
850000,4150.279961989729,2000
900000,4207.019362755122,2000
950000,4154.634078550129,2000
1000000,4209.227254337147,2000
0,31.7175176458236,3000
50000,3414.895310973124,3000
100000,3576.9182490050675,3000
150000,3612.7156643874673,3000
200000,3676.7753354817264,3000
250000,3728.789103320914,3000
300000,3244.368448603197,3000
350000,3788.4689965446,3000
400000,3947.7268072278457,3000
450000,2529.5194759414417,3000
500000,3895.341444205012,3000
550000,3918.679044981828,3000
600000,3918.399600826736,3000
650000,3926.649237606053,3000
700000,3947.665935953292,3000
750000,3882.588046738513,3000
800000,3939.772635555303,3000
850000,3922.431192640606,3000
900000,3930.019788232146,3000
950000,3957.7287443318337,3000
1000000,3953.253772503332,3000
0,13.90089834633732,4000
50000,3098.573860923861,4000
100000,1939.238357587174,4000
150000,3863.9094923801167,4000
200000,3591.569776517312,4000
250000,4093.984904755777,4000
300000,4015.139347779579,4000
350000,4133.157301049611,4000
400000,2500.934610855183,4000
450000,4048.350230514805,4000
500000,4176.110801434318,4000
550000,4004.990780631209,4000
600000,4229.228257668989,4000
650000,3242.333141987337,4000
700000,4208.547535261177,4000
750000,4255.397054047528,4000
800000,4225.383529980834,4000
850000,4245.0740840791295,4000
900000,3690.8028132684,4000
950000,4255.845582373501,4000
1000000,4301.679707214185,4000
