step,reward,seed
0,178.69052816179178,0
50000,629.0364850982792,0
100000,1879.086464837511,0
150000,6830.007424153188,0
200000,7547.682870055624,0
250000,3762.053913154488,0
300000,10010.8614098711,0
350000,10409.904233602032,0
400000,10708.044944198062,0
450000,10933.13565310888,0
500000,9915.54587262115,0
550000,11180.118797340016,0
600000,11314.25048191345,0
650000,11274.054134922588,0
700000,11371.65228002996,0
750000,11599.664722343365,0
800000,10540.104102957745,0
850000,11757.219226365003,0
900000,11820.357538987557,0
950000,10647.966851392595,0
1000000,11859.237736387591,0
0,140.50382201921968,1000
50000,645.0811870150682,1000
100000,3211.023977112904,1000
150000,6833.385994770973,1000
200000,2509.344562122736,1000
250000,7744.196336244296,1000
300000,9372.183455889988,1000
350000,10586.9113731679,1000
400000,7797.517836624585,1000
450000,11034.901239079669,1000
500000,3577.311114833802,1000
550000,11422.32509899274,1000
600000,10358.95090626248,1000
650000,11606.519117687045,1000
700000,11780.954214809111,1000
750000,11782.381960914763,1000
800000,8496.001137672534,1000
850000,12057.066318736384,1000
900000,11051.90676314797,1000
950000,12221.774384646293,1000
1000000,12388.590833226071,1000
0,190.283118414659,2000
50000,677.7402840084071,2000
100000,1419.2992629885089,2000
150000,7061.951857954528,2000
200000,2951.946256409569,2000
250000,9571.924716306725,2000
300000,9683.656300359167,2000
350000,3575.043042124814,2000
400000,10326.452632669512,2000
450000,5629.073964710608,2000
500000,10635.49056620202,2000
550000,10771.20825859765,2000
600000,10773.601469987716,2000
650000,9746.698146673752,2000
700000,10895.361015343846,2000
750000,10817.513359286972,2000
800000,10943.803719866042,2000
850000,11146.08681283736,2000
900000,11188.30242133775,2000
950000,11255.125910768917,2000
1000000,11365.46873711128,2000
0,156.74316617018667,3000
50000,371.5474287131202,3000
100000,1764.1308618710696,3000
150000,6547.530781677249,3000
200000,7968.0898087051555,3000
250000,7278.881526887763,3000
300000,9611.601158224888,3000
350000,4236.251932269299,3000
400000,10358.37637581697,3000
450000,10458.770367052284,3000
500000,8557.624364675214,3000
550000,7803.5991811505055,3000
600000,10963.764237410523,3000
650000,11053.551135005777,3000
700000,10896.652773138192,3000
750000,11196.132557080702,3000
800000,11334.230705179356,3000
850000,11388.11286100981,3000
900000,11615.366469555129,3000
950000,11622.522799146149,3000
1000000,11762.80814131374,3000
0,108.13982066842468,4000
50000,487.6216605027527,4000
100000,853.2316776924339,4000
150000,5534.010881791679,4000
200000,6680.357161865739,4000
250000,8017.113164078602,4000
300000,8976.338962514998,4000
350000,6396.499639725752,4000
400000,9876.052006894935,4000
450000,9944.903331346995,4000
500000,10306.027959023211,4000
550000,10492.685899216433,4000
600000,9521.22116760677,4000
650000,10615.63554511036,4000
700000,10725.48325745566,4000
750000,10768.917841544448,4000
800000,10966.411430800516,4000
850000,5599.331522959057,4000
900000,11016.595823941603,4000
950000,10107.745754189771,4000
1000000,11143.060720102036,4000
