step,reward,seed
0,-1570.35270917986,0
100000,955.6012009239016,0
200000,1111.083944840302,0
300000,1064.161124018174,0
400000,1197.6260343981594,0
500000,1237.2633548571998,0
600000,1244.4676120081017,0
700000,1268.078189043746,0
800000,1319.4626848029072,0
900000,1328.4211828031482,0
1000000,1306.445862313349,0
0,-2054.270199966388,1000
100000,1021.8937642554126,1000
200000,1113.0464590646202,1000
300000,1171.0815388904225,1000
400000,1191.1784111889867,1000
500000,821.934728045762,1000
600000,1193.9129383695542,1000
700000,1187.3868666241744,1000
800000,1202.2837764211886,1000
900000,1207.6948600608707,1000
1000000,1206.8742387612117,1000
0,-1429.083056291,2000
100000,586.5766191641494,2000
200000,1198.2509420090498,2000
300000,1204.532969919341,2000
400000,1209.7097676593162,2000
500000,1220.943544230826,2000
600000,1210.9155446709915,2000
700000,805.5041461297152,2000
800000,1230.9474697814142,2000
900000,1229.942955483224,2000
1000000,1232.7212460264986,2000
0,-72.58280254345233,3000
100000,1026.8299528521077,3000
200000,1104.1371097462472,3000
300000,1157.1189994319898,3000
400000,1172.8975932238477,3000
500000,1170.406799514341,3000
600000,1181.307814995594,3000
700000,1184.560676654784,3000
800000,1158.0651662240032,3000
900000,1184.456734355756,3000
1000000,1185.290000356275,3000
0,-1614.1183907258005,4000
100000,1064.9269165853068,4000
200000,1154.8111408678203,4000
300000,1182.8262303812212,4000
400000,1141.6574987511558,4000
500000,1215.0687381978987,4000
600000,655.4413458815814,4000
700000,501.2541870903239,4000
800000,1194.1950832735786,4000
900000,1047.0763711656894,4000
1000000,1248.8939974241143,4000
