step,reward,seed
0,-270.6208623994472,0
100000,542.3256814665403,0
200000,546.8605999373601,0
300000,559.5454820859137,0
400000,558.2433276156515,0
500000,565.0289980824125,0
600000,567.3522243053955,0
700000,570.2724490126323,0
800000,569.8316879567512,0
900000,562.0183356408324,0
1000000,569.9745212483929,0
0,-276.98283922026894,1000
100000,524.0263827603495,1000
200000,542.1470850819503,1000
300000,543.3412610490786,1000
400000,555.4886975538519,1000
500000,558.5920828906626,1000
600000,565.7487354690891,1000
700000,562.6424634698078,1000
800000,567.246610928567,1000
900000,567.9540551775764,1000
1000000,567.2094133428388,1000
0,-291.33595045794465,2000
100000,542.4200024442445,2000
200000,557.5399592828779,2000
300000,566.1381985763419,2000
400000,569.9513056539796,2000
500000,570.4141905298886,2000
600000,570.027135894149,2000
700000,571.1813503883197,2000
800000,571.49492814873,2000
900000,571.9911826144119,2000
1000000,569.6244347494014,2000
0,-274.503795166056,3000
100000,468.2978214976911,3000
200000,514.869269697964,3000
300000,548.7144816655801,3000
400000,552.7832428675374,3000
500000,547.6412306073391,3000
600000,555.2535623668664,3000
700000,558.2272029461782,3000
800000,557.8057857711341,3000
900000,560.114845124909,3000
1000000,566.5412703880102,3000
0,-261.16347733658665,4000
100000,529.4331363078887,4000
200000,546.3201398607765,4000
300000,554.1159149721727,4000
400000,554.8700658373075,4000
500000,560.8955560989762,4000
600000,563.5749496692096,4000
700000,563.4500073347308,4000
800000,562.2164792538933,4000
900000,569.4927950061673,4000
1000000,570.8622608996287,4000
