step,reward,seed
0,11.524210093555444,0
100000,910.392058764444,0
200000,891.7593888980867,0
300000,1088.8974645606863,0
400000,1811.593077544296,0
500000,1987.6258382353783,0
600000,1780.6125053098217,0
700000,1740.469440679141,0
800000,1974.9237471592828,0
900000,1206.551855715642,0
1000000,1841.0459756482264,0
0,-14.33535537792396,1000
100000,567.7759648739541,1000
200000,1289.4187073969404,1000
300000,895.8489619504871,1000
400000,1188.6107837559762,1000
500000,1765.349272231654,1000
600000,2063.0097799767364,1000
700000,2130.015532812485,1000
800000,2192.014477052091,1000
900000,2456.2745141035543,1000
1000000,2068.6433169705388,1000
0,-6.878896267703098,2000
100000,271.59535644767743,2000
200000,1578.9453152005876,2000
300000,1733.0050266838605,2000
400000,2182.0994212057008,2000
500000,1759.2923180043654,2000
600000,1501.0992882346895,2000
700000,2107.183778075964,2000
800000,1751.534033174967,2000
900000,1996.869202452046,2000
1000000,2251.8829420271795,2000
0,-17.124216696069627,3000
100000,889.2986561088219,3000
200000,1364.9372201233837,3000
300000,1194.6675713330544,3000
400000,1596.6959252981867,3000
500000,1671.8324808938023,3000
600000,2215.656357517564,3000
700000,2030.8123749550043,3000
800000,1930.9608202627544,3000
900000,1806.256331639169,3000
1000000,2062.796770282152,3000
0,13.975044558139166,4000
100000,656.0676681240386,4000
200000,1113.4585316301027,4000
300000,1851.3134384973328,4000
400000,1666.0651238508356,4000
500000,1961.033664157429,4000
600000,1881.00630286682,4000
700000,2200.619131594424,4000
800000,2062.061573880998,4000
900000,2171.959067143622,4000
1000000,1909.9288156926443,4000
