step,reward,seed
0,-7.703411911148561,0
100000,400.70472181144953,0
200000,1706.381956779309,0
300000,1958.9673027406595,0
400000,591.9349959932882,0
500000,1323.100306653178,0
600000,796.0998596821221,0
700000,1918.1796701421165,0
800000,2022.825682491138,0
900000,2033.4755247045096,0
1000000,1896.889839429604,0
0,-8.774738238906703,1000
100000,1957.1625227496995,1000
200000,2091.3144846144787,1000
300000,2140.162927448565,1000
400000,2142.287153420023,1000
500000,2141.9156217560844,1000
600000,2141.029629406486,1000
700000,2141.4325051430105,1000
800000,2141.8560635166687,1000
900000,2142.319782277028,1000
1000000,2091.854750814681,1000
0,-15.506613830206152,2000
100000,2381.920675403326,2000
200000,2383.176399088992,2000
300000,2383.9743917783985,2000
400000,2386.300663890056,2000
500000,2386.169952050487,2000
600000,2386.698088701777,2000
700000,2386.793546953432,2000
800000,2386.7207762855,2000
900000,2336.592176843394,2000
1000000,2387.3222140769367,2000
0,-15.741850335042216,3000
100000,2077.7438162587177,3000
200000,2080.906690049763,3000
300000,2020.3253319714408,3000
400000,2140.969965487124,3000
500000,2076.621707864672,3000
600000,2143.526024000378,3000
700000,2143.018248688865,3000
800000,2092.210365295858,3000
900000,2144.5696570379378,3000
1000000,2142.382938182734,3000
0,-5.763388828669013,4000
100000,2229.0415340166683,4000
200000,2383.685593118507,4000
300000,2383.288135687192,4000
400000,2333.835628750755,4000
500000,2384.3008865051715,4000
600000,2384.3684391518627,4000
700000,2384.8816091496105,4000
800000,2386.4538586299386,4000
900000,2380.136741819392,4000
1000000,2382.4711114258453,4000
