step,reward,seed
0,-292.54690296419045,0
100000,-201.6995820908936,0
200000,-177.77125153298906,0
300000,-184.541198491936,0
400000,-179.81570655410349,0
500000,-191.14945345471023,0
600000,-186.3132306473785,0
700000,-159.69641900537536,0
800000,-180.15518438716265,0
900000,-191.2368918988291,0
1000000,-169.15056502966763,0
0,-290.71365283176027,1000
100000,-234.08522036057684,1000
200000,-173.25122851285985,1000
300000,-202.79576732811785,1000
400000,-195.01939903026155,1000
500000,-182.79395681573635,1000
600000,-176.20023780151195,1000
700000,-185.124383715379,1000
800000,-186.66756169130863,1000
900000,-181.4447466405262,1000
1000000,-191.8532121047304,1000
0,-312.83195267127775,2000
100000,-211.2359574248284,2000
200000,-188.5046622426377,2000
300000,-196.92609085468857,2000
400000,-202.00713378890887,2000
500000,-183.904724258529,2000
600000,-182.5699041324192,2000
700000,-170.645674058225,2000
800000,-187.94717732672552,2000
900000,-187.1699708946373,2000
1000000,-171.3868862580327,2000
0,-297.5186524824427,3000
100000,-217.91509801538268,3000
200000,-196.8269183720584,3000
300000,-194.0787342695912,3000
400000,-177.14060605377057,3000
500000,-169.04597311990506,3000
600000,-174.7879406800466,3000
700000,-180.4847095079041,3000
800000,-177.75854356197553,3000
900000,-168.00116426178369,3000
1000000,-168.89347663455533,3000
0,-320.0377751808754,4000
100000,-193.98724185297016,4000
200000,-198.972506818263,4000
300000,-188.58863144230003,4000
400000,-190.894528024284,4000
500000,-181.8041885181456,4000
600000,-198.4220172877762,4000
700000,-173.8700381946124,4000
800000,-180.05628235262526,4000
900000,-175.3606466584583,4000
1000000,-171.30314511938622,4000
