step,reward,seed
0,-281.4223030590159,0
100000,650.4339690816851,0
200000,664.1711452643192,0
300000,686.4521107256015,0
400000,693.3041505539734,0
500000,703.9921155023001,0
600000,712.6099573438089,0
700000,717.0316755163659,0
800000,721.0453901665022,0
900000,722.3320283538385,0
1000000,724.9882480979886,0
0,-299.16898535146584,1000
100000,292.96160970578933,1000
200000,303.4339451894484,1000
300000,644.3030331425479,1000
400000,658.0786480016016,1000
500000,663.6490801781476,1000
600000,663.6262644622938,1000
700000,666.8371684954608,1000
800000,667.3963177469852,1000
900000,667.8509354283213,1000
1000000,668.2455394305026,1000
0,-301.1876507125435,2000
100000,422.8163055667978,2000
200000,665.3953576509456,2000
300000,679.4261516287345,2000
400000,683.2938801818618,2000
500000,688.6436745961048,2000
600000,691.9730199768399,2000
700000,704.3967520322786,2000
800000,714.9527951681011,2000
900000,716.59836144736,2000
1000000,721.2999921582781,2000
0,-306.9427666812733,3000
100000,653.1527062772375,3000
200000,677.0402535059892,3000
300000,690.4932012265243,3000
400000,709.2473017590571,3000
500000,717.9504174857794,3000
600000,721.0755100107453,3000
700000,728.8156472299042,3000
800000,730.8648667212713,3000
900000,732.9704292792667,3000
1000000,734.6794746340083,3000
0,-305.7940639415077,4000
100000,672.1837197507191,4000
200000,685.1629320909649,4000
300000,702.820448860354,4000
400000,714.3341882462357,4000
500000,717.2866421856996,4000
600000,722.1622679728761,4000
700000,728.0057590004625,4000
800000,729.2419693701461,4000
900000,729.7180179932437,4000
1000000,729.2528273689188,4000
