step,reward,seed
0,-48.85613009981616,0
100000,565.3345649538268,0
200000,636.0991355602494,0
300000,627.9689115201725,0
400000,763.3689991246995,0
500000,554.3339676991399,0
600000,607.3016904219903,0
700000,726.7125463414038,0
800000,728.9631749576456,0
900000,706.1795036202732,0
1000000,697.7006402033,0
0,-50.60764558671828,1000
100000,433.5421892140242,1000
200000,615.0419480781951,1000
300000,717.8267254238549,1000
400000,763.8927203392387,1000
500000,567.7175690221294,1000
600000,691.1286444682969,1000
700000,693.6363790969747,1000
800000,651.622318007191,1000
900000,766.7312186593659,1000
1000000,746.2166703687524,1000
0,-50.40109335324896,2000
100000,426.04226039099865,2000
200000,616.6952179140028,2000
300000,684.1562525091022,2000
400000,722.3744116377335,2000
500000,657.3661723695534,2000
600000,745.8453627581997,2000
700000,729.895643403992,2000
800000,742.0669334825091,2000
900000,693.9831461554228,2000
1000000,761.9364393340177,2000
0,-50.6397196920336,3000
100000,325.578091766321,3000
200000,702.0240410730822,3000
300000,531.7437475376465,3000
400000,686.004517275352,3000
500000,669.7155576561629,3000
600000,759.6786091878048,3000
700000,686.2556896099346,3000
800000,704.2090110984118,3000
900000,656.2998357192495,3000
1000000,727.2417852332035,3000
0,-48.49142268360752,4000
100000,414.9645545744112,4000
200000,534.1659225788769,4000
300000,733.5371773999526,4000
400000,719.2640226924719,4000
500000,764.1318430657036,4000
600000,687.4943063993592,4000
700000,757.6981506009766,4000
800000,721.1080942510821,4000
900000,771.0334416338103,4000
1000000,746.9900973781121,4000
