step,reward,seed
0,-44.431153099887936,0
100000,771.7727009731858,0
200000,776.557828606807,0
300000,777.418125463933,0
400000,778.8438167163189,0
500000,780.1701929687785,0
600000,770.4287212566411,0
700000,779.7699440991062,0
800000,779.8835666505566,0
900000,779.73519296144,0
1000000,779.6502229391465,0
0,-45.084461231099205,1000
100000,772.1395901013955,1000
200000,773.248168588748,1000
300000,775.3934860879516,1000
400000,772.8739209228203,1000
500000,698.8062379776567,1000
600000,780.5390716226545,1000
700000,776.112397956037,1000
800000,775.8712517222741,1000
900000,780.4208202738728,1000
1000000,755.0353863628701,1000
0,-40.54528901197735,2000
100000,747.9870697088091,2000
200000,773.1847172822057,2000
300000,781.5723366791161,2000
400000,780.0551110890486,2000
500000,779.2066121255899,2000
600000,775.6522929769363,2000
700000,776.0054066971549,2000
800000,780.2798096904078,2000
900000,779.6654608708319,2000
1000000,780.3856119324203,2000
0,-55.604323347993066,3000
100000,776.494161460807,3000
200000,776.952791393501,3000
300000,777.6981063572367,3000
400000,775.5021784517463,3000
500000,779.0767797221954,3000
600000,747.3968883431646,3000
700000,775.8942403180215,3000
800000,776.5759216387659,3000
900000,779.8163692061518,3000
1000000,779.2080120986906,3000
0,-33.15253526400545,4000
100000,773.0240003207838,4000
200000,777.2367729606774,4000
300000,776.6783860276867,4000
400000,780.1094132396845,4000
500000,779.8431516079411,4000
600000,780.1723465393087,4000
700000,779.5678739974829,4000
800000,774.8848159136649,4000
900000,775.891175757755,4000
1000000,776.3021516939551,4000
