step,reward,seed
0,0.0,0
100000,817.6,0
200000,871.7,0
300000,813.4,0
400000,873.3,0
500000,844.2,0
600000,865.2,0
700000,818.7,0
800000,848.4,0
900000,834.1,0
1000000,851.4,0
0,0.0,1000
100000,793.5,1000
200000,861.4,1000
300000,880.3,1000
400000,876.5,1000
500000,838.3,1000
600000,857.0,1000
700000,865.2,1000
800000,847.1,1000
900000,834.8,1000
1000000,761.6,1000
0,1.6,2000
100000,844.8,2000
200000,863.8,2000
300000,814.5,2000
400000,851.3,2000
500000,822.0,2000
600000,859.8,2000
700000,848.7,2000
800000,800.3,2000
900000,781.3,2000
1000000,791.0,2000
0,1.9,3000
100000,857.3,3000
200000,820.7,3000
300000,832.1,3000
400000,826.6,3000
500000,843.5,3000
600000,799.4,3000
700000,868.8,3000
800000,857.5,3000
900000,786.5,3000
1000000,857.6,3000
0,0.0,4000
100000,816.7,4000
200000,777.5,4000
300000,805.1,4000
400000,863.6,4000
500000,883.1,4000
600000,883.8,4000
700000,827.5,4000
800000,817.7,4000
900000,816.2,4000
1000000,846.8,4000
