step,reward,seed
0,154.75000854808928,0
100000,683.9555888324812,0
200000,811.6748866637603,0
300000,825.4467498532389,0
400000,882.9831107409788,0
500000,868.0486371441217,0
600000,883.2520539312964,0
700000,907.9305648379288,0
800000,903.0747634219432,0
900000,909.8879990008578,0
1000000,938.3937335087234,0
0,102.85967807647276,1000
100000,794.0981596834697,1000
200000,896.7407560768003,1000
300000,902.8147811087448,1000
400000,916.3821585163162,1000
500000,910.0989232612844,1000
600000,921.0184933761795,1000
700000,923.4894100822077,1000
800000,924.3481071029058,1000
900000,936.5769971372956,1000
1000000,942.9607581137428,1000
0,153.61215294853025,2000
100000,898.5981864537267,2000
200000,892.2201617143703,2000
300000,865.5431572979078,2000
400000,931.5378699024104,2000
500000,935.0152042605378,2000
600000,909.7012854724146,2000
700000,927.7909890262032,2000
800000,938.7949697999968,2000
900000,941.7092430065702,2000
1000000,931.8192742236704,2000
0,105.92335954747782,3000
100000,901.069706470528,3000
200000,923.4670930996256,3000
300000,928.888572644178,3000
400000,925.4699918827112,3000
500000,948.6656643655306,3000
600000,944.21035410532,3000
700000,939.5980442428518,3000
800000,959.4973300530404,3000
900000,950.4122971765352,3000
1000000,933.6586510541454,3000
0,205.3758695575155,4000
100000,788.8333290422363,4000
200000,876.2005008907684,4000
300000,918.206552734588,4000
400000,925.8466652201372,4000
500000,935.3170944169532,4000
600000,916.348553945404,4000
700000,918.1914399239058,4000
800000,931.1164151286066,4000
900000,926.7401328265008,4000
1000000,928.7927996454648,4000
