step,reward,seed
0,155.92886544232405,0
100000,918.7013427556354,0
200000,960.7985862251332,0
300000,958.3676975580984,0
400000,945.0236108100114,0
500000,957.2530466056164,0
600000,946.7144050115388,0
700000,957.0463104443704,0
800000,970.2271343812978,0
900000,963.556860056184,0
1000000,975.4203200398354,0
0,103.5158532411823,1000
100000,931.9269567331108,1000
200000,952.4703567781396,1000
300000,950.6081733134712,1000
400000,949.4934538177458,1000
500000,949.253579154584,1000
600000,961.8386963809024,1000
700000,968.0538622393494,1000
800000,963.8371854337188,1000
900000,960.4171046064812,1000
1000000,973.5665495094964,1000
0,150.63616080576614,2000
100000,940.3706280777542,2000
200000,940.214938439552,2000
300000,952.2250100284724,2000
400000,960.280833310254,2000
500000,926.963839626919,2000
600000,964.9834957573368,2000
700000,942.5711149682172,2000
800000,959.869901067982,2000
900000,971.1601102533104,2000
1000000,957.3705884074708,2000
0,106.608129228849,3000
100000,906.6985680325952,3000
200000,957.9726424525782,3000
300000,949.040892710683,3000
400000,945.9262989525524,3000
500000,967.6176735924593,3000
600000,965.3270333908256,3000
700000,939.2527290848112,3000
800000,972.913488825582,3000
900000,953.3281184706173,3000
1000000,960.5526358175272,3000
0,203.543049289707,4000
100000,832.8097745605626,4000
200000,945.4922235862956,4000
300000,959.5191682482836,4000
400000,947.5946163702416,4000
500000,928.5003479982986,4000
600000,936.9057650424264,4000
700000,954.8032210186556,4000
800000,958.1909796697332,4000
900000,934.937426540898,4000
1000000,960.9924210269452,4000
