step,reward,seed
0,75.1,0
100000,975.0,0
200000,789.4,0
300000,976.5,0
400000,980.9,0
500000,981.8,0
600000,978.9,0
700000,987.6,0
800000,933.7,0
900000,978.3,0
1000000,986.0,0
0,67.7,1000
100000,879.5,1000
200000,974.3,1000
300000,978.9,1000
400000,985.7,1000
500000,976.3,1000
600000,984.3,1000
700000,986.7,1000
800000,983.4,1000
900000,986.6,1000
1000000,981.8,1000
0,41.1,2000
100000,876.2,2000
200000,885.1,2000
300000,976.3,2000
400000,987.2,2000
500000,988.2,2000
600000,982.3,2000
700000,984.4,2000
800000,984.4,2000
900000,980.4,2000
1000000,983.1,2000
0,98.1,3000
100000,980.6,3000
200000,973.0,3000
300000,906.6,3000
400000,986.4,3000
500000,974.8,3000
600000,887.0,3000
700000,988.2,3000
800000,990.2,3000
900000,983.8,3000
1000000,986.3,3000
0,86.2,4000
100000,974.5,4000
200000,982.3,4000
300000,988.3,4000
400000,977.5,4000
500000,978.5,4000
600000,980.4,4000
700000,981.5,4000
800000,988.2,4000
900000,987.0,4000
1000000,980.6,4000
