step,reward,seed
0,9.6,0
100000,777.3,0
200000,976.0,0
300000,969.0,0
400000,976.5,0
500000,975.6,0
600000,972.8,0
700000,973.8,0
800000,965.0,0
900000,973.5,0
1000000,979.4,0
0,11.6,1000
100000,971.3,1000
200000,972.1,1000
300000,973.0,1000
400000,976.9,1000
500000,962.4,1000
600000,966.7,1000
700000,970.8,1000
800000,968.2,1000
900000,974.4,1000
1000000,968.6,1000
0,0.0,2000
100000,966.9,2000
200000,971.1,2000
300000,973.2,2000
400000,980.8,2000
500000,973.8,2000
600000,975.2,2000
700000,976.8,2000
800000,974.7,2000
900000,972.3,2000
1000000,977.8,2000
0,5.8,3000
100000,871.1,3000
200000,787.4,3000
300000,972.6,3000
400000,968.9,3000
500000,975.4,3000
600000,977.1,3000
700000,979.6,3000
800000,980.3,3000
900000,980.3,3000
1000000,969.6,3000
0,1.4,4000
100000,865.5,4000
200000,977.5,4000
300000,978.2,4000
400000,977.7,4000
500000,971.2,4000
600000,978.1,4000
700000,976.7,4000
800000,986.0,4000
900000,980.9,4000
1000000,976.1,4000
