step,reward,seed
0,26.462847676465778,0
100000,689.3288432134125,0
200000,743.8806761361786,0
300000,776.4425471382654,0
400000,790.1633451953521,0
500000,789.9091118557631,0
600000,795.2046058308264,0
700000,800.030808119017,0
800000,803.7834735152528,0
900000,805.5431846941951,0
1000000,802.2749722652327,0
0,25.68317629797218,1000
100000,664.4124063921853,1000
200000,785.4133002490402,1000
300000,787.6205616490893,1000
400000,801.4644628749782,1000
500000,805.8530256903396,1000
600000,810.9667444481937,1000
700000,810.2373329896249,1000
800000,745.559761294998,1000
900000,819.8859863851427,1000
1000000,747.2385700451722,1000
0,18.999342113515706,2000
100000,701.0970976262181,2000
200000,775.4431438853065,2000
300000,783.3813073272929,2000
400000,808.5725824497517,2000
500000,808.4885577735798,2000
600000,814.4291533023567,2000
700000,816.73437536509,2000
800000,816.4178553568797,2000
900000,818.9574797952508,2000
1000000,821.510368342804,2000
0,22.23436201809617,3000
100000,698.6033776203542,3000
200000,789.0394649250333,3000
300000,800.2950475152595,3000
400000,809.6308457259638,3000
500000,812.3105686755981,3000
600000,816.5594982499754,3000
700000,817.9463035660767,3000
800000,823.035455402948,3000
900000,817.7744263296256,3000
1000000,814.8388562905242,3000
0,21.64584287915402,4000
100000,710.2968442402384,4000
200000,768.1349454436743,4000
300000,789.4180769025038,4000
400000,807.2256296381988,4000
500000,815.2370316803415,4000
600000,815.6525779758408,4000
700000,818.3476980595225,4000
800000,822.9157955060898,4000
900000,816.3328362729142,4000
1000000,827.5111766198859,4000
