step,reward,seed
0,157.93878499584338,0
100000,880.0762739546741,0
200000,966.718405760995,0
300000,982.9158985563748,0
400000,987.6689540317644,0
500000,976.7233890604496,0
600000,978.053882186982,0
700000,976.3270722889812,0
800000,990.8646632014276,0
900000,988.3331133510308,0
1000000,985.6609135903004,0
0,153.33118669878223,1000
100000,963.8060868514588,1000
200000,987.509580592262,1000
300000,986.6507808565908,1000
400000,976.4087186084676,1000
500000,987.3318408745304,1000
600000,976.4696720816862,1000
700000,986.3417746902762,1000
800000,988.4130619601176,1000
900000,991.8545247176774,1000
1000000,992.5824045919572,1000
0,113.34857233049055,2000
100000,947.8421093341,2000
200000,979.3076579369994,2000
300000,974.8152347500816,2000
400000,987.818965648436,2000
500000,986.292873503384,2000
600000,984.3897708333376,2000
700000,987.4892940339744,2000
800000,988.6234051743268,2000
900000,993.4584849894056,2000
1000000,990.4980429581498,2000
0,133.08860428232862,3000
100000,957.0190193654208,3000
200000,988.1259130974822,3000
300000,981.6301194456594,3000
400000,983.1941668932122,3000
500000,988.7117902647018,3000
600000,987.9277418901484,3000
700000,988.449412551692,3000
800000,994.462282654631,3000
900000,989.4554009513698,3000
1000000,981.3168371908484,3000
0,129.30853500610226,4000
100000,968.0720343521286,4000
200000,982.6923621067648,4000
300000,981.635263543226,4000
400000,979.785930236421,4000
500000,985.9616705246464,4000
600000,984.36394932144,4000
700000,979.7984471742004,4000
800000,989.4721545772228,4000
900000,984.8274635638594,4000
1000000,989.6992156732996,4000
