step,reward,seed
0,7.068817090096592,0
50000,1441.958490872442,0
100000,4873.200896382184,0
150000,3741.29601200329,0
200000,5133.278396039243,0
250000,5851.8881320247565,0
300000,5965.727938798948,0
350000,6072.041185445383,0
400000,6204.140558219426,0
450000,6168.473595070161,0
500000,6188.796920653154,0
550000,5998.505074855449,0
600000,6082.949725530825,0
650000,6329.192636708399,0
700000,6307.456616533177,0
750000,6476.285834469103,0
800000,6506.315843609608,0
850000,6452.724801292275,0
900000,6606.642287314117,0
950000,6369.660550387894,0
1000000,6527.707760567125,0
0,19.851593648580536,1000
50000,1347.8929236435133,1000
100000,5011.696887662374,1000
150000,1121.8483996618534,1000
200000,6434.760715595382,1000
250000,6628.273192825645,1000
300000,6582.118342995658,1000
350000,5354.562041682921,1000
400000,5988.843215140769,1000
450000,6678.014046777489,1000
500000,6839.874792760069,1000
550000,6787.479393489271,1000
600000,6825.951710081256,1000
650000,6772.547066798425,1000
700000,6856.373774078558,1000
750000,6899.179851762677,1000
800000,3520.392049489129,1000
850000,6915.905872103246,1000
900000,6868.370003315782,1000
950000,6886.948864376978,1000
1000000,7004.588656368234,1000
0,33.82787813262415,2000
50000,4431.545174734581,2000
100000,4732.119148573647,2000
150000,5452.135618442489,2000
200000,2305.5254211261563,2000
250000,2164.7645960418818,2000
300000,5641.068773670204,2000
350000,5797.298988092957,2000
400000,5710.221693335331,2000
450000,5715.045370651364,2000
500000,5916.8320630895305,2000
550000,5822.261512837598,2000
600000,4839.361265093116,2000
650000,5377.599024916446,2000
700000,5887.404341642578,2000
750000,5967.351903876717,2000
800000,6065.296809604157,2000
850000,6143.198186505858,2000
900000,6138.823747448812,2000
950000,5967.613909669881,2000
1000000,2855.240740671632,2000
0,11.402357954549355,3000
50000,3986.329663511774,3000
100000,2279.8914988638853,3000
150000,5585.900685476159,3000
200000,6203.603278711091,3000
250000,6369.159910938914,3000
300000,2675.631062045778,3000
350000,3171.3085711514823,3000
400000,6787.118838766032,3000
450000,6804.061063335656,3000
500000,6894.138919867018,3000
550000,6914.673075606859,3000
600000,6940.124587184044,3000
650000,6985.770752187775,3000
700000,6938.828039599588,3000
750000,7002.746853330167,3000
800000,7013.402045819188,3000
850000,7076.696735469473,3000
900000,7093.177843204122,3000
950000,7098.160632687427,3000
1000000,7114.565719604907,3000
0,7.851387979956058,4000
50000,1713.088818495224,4000
100000,5541.978147910596,4000
150000,2299.490433684982,4000
200000,3591.088666937926,4000
250000,6409.921215045507,4000
300000,135.42848442641804,4000
350000,6629.80751599832,4000
400000,6846.375558325975,4000
450000,6743.386382072585,4000
500000,6848.913066553927,4000
550000,7079.383222404079,4000
600000,7082.022711087333,4000
650000,7115.729107684691,4000
700000,7266.916761610507,4000
750000,7185.287984653651,4000
800000,7054.36514688717,4000
850000,7245.20875140336,4000
900000,7236.188345777817,4000
950000,7251.327358697262,4000
1000000,7316.723733787869,4000
